epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2831.06,1.31863,1.64191,1.40266,0.75511,0.71275,0.77172,0.49569,1.12368,1.01646,1.18674,0.000302509,0.000302509,0.000302509
2,5618.92,1.18668,1.02379,1.29218,0.8158,0.7193,0.77718,0.51616,1.10763,0.88613,1.18842,0.000545564,0.000545564,0.000545564
3,8553.95,1.14945,0.90393,1.26942,0.8173,0.75956,0.82183,0.55124,1.07251,0.81328,1.14457,0.000728624,0.000728624,0.000728624
4,11605.1,1.10026,0.81381,1.23674,0.8543,0.75532,0.8371,0.57244,1.0094,0.70728,1.12218,0.000639027,0.000639027,0.000639027
5,14514.2,1.05816,0.74385,1.20505,0.81069,0.79608,0.84135,0.57869,0.98485,0.65507,1.09781,0.000549036,0.000549036,0.000549036
6,17358.4,1.01589,0.68979,1.18178,0.85883,0.80689,0.86527,0.6187,0.92746,0.61002,1.0574,0.000459045,0.000459045,0.000459045
7,20092.5,0.98077,0.64813,1.15612,0.8809,0.80915,0.88325,0.63727,0.91311,0.56847,1.04206,0.000369054,0.000369054,0.000369054
8,22933.3,0.94427,0.60986,1.13509,0.88813,0.84097,0.9028,0.65526,0.88648,0.5427,1.02731,0.000279063,0.000279063,0.000279063
9,25652,0.91154,0.57583,1.11502,0.88709,0.85853,0.91323,0.66701,0.8564,0.51342,1.01234,0.000189072,0.000189072,0.000189072
10,28377.8,0.88259,0.54819,1.09686,0.8929,0.8721,0.91678,0.67716,0.83821,0.49617,1.00145,9.9081e-05,9.9081e-05,9.9081e-05
