epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6783.51,1.25856,1.21156,1.356,0.7761,0.76247,0.8146,0.54662,1.0523,0.77023,1.13939,0.000302509,0.000302509,0.000302509
2,13574.6,1.14565,0.82483,1.26322,0.81809,0.75669,0.82893,0.56452,1.05596,0.72841,1.1397,0.000545564,0.000545564,0.000545564
3,20128.6,1.11367,0.77311,1.24409,0.82032,0.76539,0.83278,0.57565,1.01645,0.69241,1.11701,0.000728624,0.000728624,0.000728624
4,26861.2,1.05519,0.70123,1.20828,0.85401,0.8132,0.87792,0.61235,0.97759,0.60965,1.09682,0.000639027,0.000639027,0.000639027
5,33612.7,0.9969,0.63438,1.16824,0.8826,0.84151,0.90788,0.64021,0.92108,0.55049,1.05677,0.000549036,0.000549036,0.000549036
6,40033.8,0.94696,0.58179,1.138,0.908,0.85491,0.92099,0.67113,0.87334,0.5178,1.02184,0.000459045,0.000459045,0.000459045
7,46456.6,0.90412,0.53854,1.10691,0.90682,0.87471,0.93169,0.69416,0.84147,0.48328,1.00496,0.000369054,0.000369054,0.000369054
8,52864.9,0.85719,0.49764,1.08065,0.92242,0.87233,0.93757,0.70643,0.81667,0.46247,0.98503,0.000279063,0.000279063,0.000279063
9,59271.5,0.81773,0.46157,1.05751,0.91609,0.90528,0.94892,0.72626,0.78003,0.42646,0.96985,0.000189072,0.000189072,0.000189072
10,65708.5,0.77711,0.43078,1.03447,0.9505,0.88001,0.94999,0.73591,0.75774,0.41281,0.95994,9.9081e-05,9.9081e-05,9.9081e-05
